time,open,high,low,close,EMA,MA,RSI
2016-04-10,6566752106,6572406972,6543993881,6558012521,5789733572,6462698351,53.73349045
2016-04-14,6655105032,6669522876,6626231244,6657955338,5798372595,6470355488,61.72143971
2016-04-15,6651948290,6741934720,6622756299,6725088030,5807593644,6480344999,65.97135585
2016-04-16,6721992536,6784258931,5971266870,6745401372,5816925064,6490739367,67.15949314
2016-04-17,6750550253,6765646461,5927171253,6707993957,5825791421,6499259155,62.81025175
2016-04-18,6703778516,6751156516,6676898869,6717983580,5834668955,6507836583,63.49022426
2016-04-19,6717971905,6857832277,5944413094,6835156426,5844624054,6520672655,70.34032634
2016-04-20,6835407634,6969786708,6791100814,6934517572,5855468766,6536901868,74.67888097
2016-04-21,6932825990,7094180241,6895166553,7069006883,5867543772,6557768731,79.1290523
2016-04-22,7068728793,7081197038,6941624395,7021651703,5879027433,6575960220,74.18509302
2016-04-23,7012432956,7095002779,6966333204,7086284698,5891039943,6595972945,76.35641268
2016-04-24,7103424966,7391245990,7021190241,7227701386,5904340057,6620746609,80.26726602
2016-04-25,7227485954,7381135241,6369910301,7257116338,5917800518,6645702285,80.97227897
2016-04-26,7256105744,7381558334,7247111077,7335486717,5931906848,6672752655,82.74149733
2016-04-27,7335229637,7372916424,6431610932,6996165939,5942496491,6685435529,57.71795498
2016-04-28,6996395792,7090187382,6830389657,7056804723,5953584135,6699999026,60.04356484
2016-04-29,7069052060,7176481883,6996686639,7171502219,5965702723,6718489348,64.0692124
2016-04-30,7172193201,7183799822,6174267502,7047243357,5976464321,6731381662,57.33027867
2016-05-01,7061089225,7150219815,7032984198,7132990503,5987972044,6747131028,60.42379842
2016-05-02,7132965600,7153609633,6902271901,6994109099,5997983358,6756816443,53.64058195
2016-05-03,6994303174,7122820494,6938937919,7095107771,6008900019,6770082769,57.38707751
2016-05-04,7105350895,7115205719,6991570598,7033092244,6019090986,6780396866,54.47594817
2016-05-05,7044565600,7088522763,7005004450,7060468001,6029452947,6791380048,55.54793565
2016-05-06,7061622587,7306599053,7032117916,7213051900,6041230051,6807916199,61.05286306
2016-05-07,7221511477,7255884350,7169098889,7204809325,6052807954,6823480635,60.61615923
2016-05-08,7233869292,7248236520,7184224698,7222033781,6064442042,6839110171,61.24008234
2016-05-09,7214668622,7328389292,7175794675,7259725455,6076335409,6855604888,62.63504335
2016-05-10,7270326038,7298590791,7045370910,7116229018,6086682609,6865825442,54.58120805
2016-05-11,7105047931,7221079649,7092306402,7138771228,6097151153,6876529198,55.5481824
2016-05-12,7139526073,7179355455,7071778628,7174701651,6107873048,6888222235,57.11540676
2016-05-13,7175515917,7211477585,7123406628,7189881982,6118639306,6900052029,57.79247915
2016-05-14,7197789796,7213257699,7147798340,7183839522,6129238313,6911180951,57.40397735
2016-05-15,7210791071,7241940376,7181654217,7229663424,6140187817,6923670459,59.62085521
2016-05-16,7230426634,7244622713,7124307285,7174482768,6150479309,6933506236,55.85133766
2016-05-17,7175339052,7211162386,7140125864,7159783096,6160522133,6942379839,54.85634494
2016-05-18,7158514345,7205063165,7139354176,7158033267,6170447617,6950836836,54.73134919
2016-05-19,7151078586,7181773272,6872346795,6900704423,6177713854,6948870859,40.21803358
2016-05-20,6902250023,7043124235,6879767059,7007659069,6185972015,6951176279,46.56089902
2016-05-21,7009585331,7035732043,6884895486,7019879389,6194269601,6953870518,47.24956548
2016-05-22,7024305691,7043369904,6896604410,6960753110,6201896302,6954140424,44.2764919
2016-05-23,6959220291,7032430631,6918761902,7026087517,6210097210,6956961879,48.15829254
2016-05-24,7019509817,7086330348,6987443844,7040815287,6218363061,6960250248,49.02041858
2016-05-25,7061129755,7134817385,7036695001,7113365305,6227268556,6966254760,53.15332404
2016-05-26,7107846877,7191264342,7076093708,7169256434,6236641570,6974215610,56.10560897
2016-05-27,7168235667,7584352243,7143656861,7472737501,6248941032,6993765488,67.9254864
2016-05-28,7450052540,8379620073,7391880083,8209468538,6268448768,7041440117,81.17680926
2016-05-29,8304929830,8605210511,7705403348,8241443154,6288080553,7088499060,81.53339767
2016-05-30,8236619137,8521706279,8107279331,8392014601,6309015221,7139617316,83.15201403
2016-05-31,8393357931,8734893608,8181176983,8456879482,6330387004,7191274656,83.81034779
2016-06-01,8463943725,8639542540,8349818098,8539356563,6352366801,7244140613,84.63260329
2016-06-02,8539674204,8590659958,8407316648,8553988291,6374273482,7295507189,84.78028369
2016-06-03,8554435257,9206245954,8508345613,9058697395,6400984168,7364651903,88.78418647
2016-06-04,9058014727,9369281684,8869596663,9125043165,6428089233,7433686854,89.18688904
2016-06-05,9136277911,9280421799,9007704391,9143061418,6455103881,7500721151,89.29925936
2016-06-06,9139267140,9339846789,9130095692,9306436629,6483475351,7571533522,90.28508086
2016-06-07,9299906784,9471714122,8952697882,9194943958,6510455139,7635196677,84.55984397
2016-06-08,9192465243,9320801148,9095544239,9286550978,6538077983,7699955669,85.38017075
2016-06-09,9286123590,9301292453,9121784467,9165951244,6564225975,7757445692,79.39943139
2016-06-10,9181690308,9252921027,9109705805,9212507750,6590577038,7814506949,79.98237836
2016-06-11,9187796948,9743094523,9168603200,9712422398,6621640176,7888935006,84.91771814
2016-06-12,9731315932,10900172498,9595855029,10697972280,6662200694,7999093330,90.09989174
2016-06-13,10645237685,11557062594,10418266945,11215235348,6707504522,8125216547,91.70988173
2016-06-14,11206159436,11239758328,10423079685,10920996587,6749429816,8234854979,83.40126083
2016-06-15,10921136603,11099840533,10703343403,11071266797,6792433169,8346086815,84.1890819
2016-06-16,11072542614,12322253073,10971507451,12199201944,6846231863,8497189370,88.57313283
2016-06-17,12215488193,12407898725,11221002890,11856222762,6896082519,8628916169,81.2001434
2016-06-18,11853647235,12407373555,11484980328,12001877770,6946886452,8761189173,81.88960774
2016-06-19,12003349120,12202330571,11778404477,12128199264,6998441803,8893228785,82.48939193
2016-06-20,12092084863,12181611478,11506931594,11641556417,7044641948,9001006339,72.52455888
2016-06-21,11548221750,11619101518,9946989147,10636939203,7080386200,9065160569,57.17062073
2016-06-22,10602864786,10823434110,9364125176,9592341854,7105380783,9085834345,46.21472172
2016-06-23,9579151992,10107478394,8608490402,9970286709,7133887310,9120518751,49.95176462
2016-06-24,9933251382,10917636245,9883476296,10546499879,7167843654,9176439580,55.07656599
2016-06-25,10532276032,10915523367,10175373111,10509779609,7201096748,9228727424,54.69222102
2016-06-26,10630530766,10649317943,9820784808,10105007797,7229991385,9263091360,50.50809809
2016-06-27,10096098355,10492192920,9925598132,10397682095,7261510696,9307585114,53.29064052
2016-06-28,10397215629,10526842667,10164054773,10373826301,7292479010,9349398494,53.02893401
2016-06-29,10371381291,10417881961,10088231914,10270037546,7322106458,9385501987,51.83621544
2016-06-30,10271908749,10815818978,10184458807,10786442046,7356577459,9440440812,57.01647488
2016-07-01,10786625286,11092506646,10679118265,10847263893,7391310658,9495610345,57.59497374
2016-07-02,10846162492,11201544656,10819732762,11187521065,7429083896,9561959785,60.77544093
2016-07-03,11206382545,11276689217,10333414611,10553741900,7460175020,9600853201,52.82758966
2016-07-04,10554961404,10911675386,10392530006,10893360659,7494336071,9651539768,56.13776335
2016-07-05,10891560649,10903311967,10583060916,10684791826,7526081900,9692059457,53.64799668
2016-07-06,10682002816,10898106592,10672513956,10816518117,7558822558,9736155875,55.00528704
2016-07-07,10817221911,10916842867,9789528574,10232085608,7585422191,9755604100,48.2540329
2016-07-08,10235153026,10644710207,10216614811,10616054051,7615577732,9789347235,52.38865939
2016-07-09,10616383756,10645179006,10022234867,10492479027,7644203615,9816921031,50.97692414
2016-07-10,10513873640,10544152960,10300731431,10467989686,7672300989,9842453135,50.68542976
2016-07-11,10468270380,10664210650,10379957398,10522162351,7700657818,9869108398,51.34817028
